shipment_id,order_id,carrier,tracking_no,shipped_at,delivered_at,status
49,98,Delhivery,DE-0000098,2024-02-26 06:00:51,2024-02-27 06:00:51,Delivered
50,102,Delhivery,DE-0000102,2024-02-05 12:53:11,2024-02-06 12:53:11,Delivered
51,103,DTDC,DT-0000103,2025-07-27 12:19:07,2025-07-28 12:19:07,Delivered
52,104,BlueDart,BL-0000104,2024-04-11 14:53:00,2024-04-16 14:53:00,Delivered
53,106,EcomExpress,EC-0000106,2025-06-19 04:02:46,,Shipped
54,107,BlueDart,BL-0000107,2024-03-02 07:51:38,2024-03-05 07:51:38,Delivered
55,108,DTDC,DT-0000108,2024-11-21 00:17:53,2024-11-23 00:17:53,Delivered
56,109,Delhivery,DE-0000109,2024-01-26 12:16:02,2024-01-30 12:16:02,Delivered
57,115,DTDC,DT-0000115,2024-07-21 18:36:59,2024-07-24 18:36:59,Delivered
58,117,XpressBees,XP-0000117,2025-07-26 22:06:15,2025-07-30 22:06:15,Delivered
59,120,XpressBees,XP-0000120,2025-08-09 16:55:52,,Shipped
60,121,EcomExpress,EC-0000121,2024-09-01 23:11:57,,Shipped
61,124,BlueDart,BL-0000124,2025-08-29 19:14:59,,Shipped
62,127,XpressBees,XP-0000127,2024-04-22 05:49:16,2024-04-25 05:49:16,Delivered
63,128,EcomExpress,EC-0000128,2024-06-08 08:15:38,,Shipped
64,129,Delhivery,DE-0000129,2025-08-11 11:18:54,2025-08-15 11:18:54,Delivered
65,130,DTDC,DT-0000130,2025-05-30 15:06:19,2025-06-03 15:06:19,Delivered
66,131,Delhivery,DE-0000131,2025-01-26 01:11:27,2025-01-27 01:11:27,Delivered
67,134,BlueDart,BL-0000134,2024-12-03 16:28:12,2024-12-07 16:28:12,Delivered
68,135,DTDC,DT-0000135,2025-08-13 03:19:01,2025-08-16 03:19:01,Delivered
69,137,Delhivery,DE-0000137,2025-04-01 21:54:20,2025-04-02 21:54:20,Delivered
70,140,XpressBees,XP-0000140,2024-02-04 12:19:30,2024-02-09 12:19:30,Delivered
71,141,BlueDart,BL-0000141,2024-08-03 23:51:04,2024-08-06 23:51:04,Delivered
72,143,EcomExpress,EC-0000143,2024-08-04 17:24:24,2024-08-08 17:24:24,Delivered
73,145,DTDC,DT-0000145,2025-02-08 21:02:32,,Shipped
74,146,XpressBees,XP-0000146,2024-09-05 22:57:12,2024-09-07 22:57:12,Delivered
75,148,DTDC,DT-0000148,2024-03-02 00:07:17,2024-03-04 00:07:17,Delivered
76,149,DTDC,DT-0000149,2024-08-06 00:36:06,2024-08-11 00:36:06,Delivered
77,150,XpressBees,XP-0000150,2024-02-06 05:23:59,2024-02-07 05:23:59,Delivered
78,151,XpressBees,XP-0000151,2024-08-10 07:31:51,,Shipped
79,152,EcomExpress,EC-0000152,2024-08-30 00:44:35,2024-09-04 00:44:35,Delivered
80,157,XpressBees,XP-0000157,2024-04-23 10:05:29,2024-04-25 10:05:29,Delivered
81,159,DTDC,DT-0000159,2024-03-28 16:17:01,,Shipped
82,160,BlueDart,BL-0000160,2025-05-26 18:53:14,,Shipped
83,161,XpressBees,XP-0000161,2024-10-16 08:45:03,2024-10-19 08:45:03,Delivered
84,165,DTDC,DT-0000165,2025-01-05 18:26:12,,Shipped
85,167,BlueDart,BL-0000167,2024-08-02 13:03:50,2024-08-07 13:03:50,Delivered
86,168,DTDC,DT-0000168,2025-02-27 04:32:04,2025-03-03 04:32:04,Delivered
87,169,DTDC,DT-0000169,2025-02-09 05:23:12,,Shipped
88,171,DTDC,DT-0000171,2025-06-29 13:02:47,2025-07-02 13:02:47,Delivered
89,175,EcomExpress,EC-0000175,2025-05-01 21:03:47,2025-05-04 21:03:47,Delivered
90,177,Delhivery,DE-0000177,2025-03-20 19:27:44,2025-03-22 19:27:44,Delivered
91,178,Delhivery,DE-0000178,2025-01-26 10:04:57,2025-01-28 10:04:57,Delivered
92,179,XpressBees,XP-0000179,2024-09-25 11:48:09,,Shipped
93,181,Delhivery,DE-0000181,2024-03-21 20:50:04,2024-03-25 20:50:04,Delivered
94,182,BlueDart,BL-0000182,2025-05-16 08:35:41,2025-05-17 08:35:41,Delivered
95,185,EcomExpress,EC-0000185,2024-08-29 16:09:51,,Shipped
96,187,BlueDart,BL-0000187,2025-07-12 21:29:24,2025-07-14 21:29:24,Delivered
97,188,BlueDart,BL-0000188,2024-10-01 16:38:31,,Shipped
98,191,BlueDart,BL-0000191,2024-08-05 19:09:30,,Shipped
99,195,XpressBees,XP-0000195,2024-09-18 04:55:59,2024-09-21 04:55:59,Delivered
100,196,XpressBees,XP-0000196,2024-04-20 03:06:48,,Shipped
101,197,Delhivery,DE-0000197,2025-02-08 04:43:20,2025-02-10 04:43:20,Delivered
102,198,XpressBees,XP-0000198,2025-02-09 12:10:47,2025-02-11 12:10:47,Delivered
103,200,EcomExpress,EC-0000200,2025-01-19 14:22:51,,Shipped
104,204,Delhivery,DE-0000204,2025-07-22 02:37:19,,Shipped
105,205,EcomExpress,EC-0000205,2024-05-09 15:42:42,,Shipped
106,213,EcomExpress,EC-0000213,2024-01-08 20:00:35,,Shipped
107,214,DTDC,DT-0000214,2024-01-24 13:24:01,,Shipped
108,215,EcomExpress,EC-0000215,2024-02-05 03:20:30,,Shipped
109,216,DTDC,DT-0000216,2024-11-11 03:25:32,,Shipped
110,218,EcomExpress,EC-0000218,2024-03-14 09:47:04,2024-03-18 09:47:04,Delivered
111,219,DTDC,DT-0000219,2024-02-23 04:28:09,2024-02-27 04:28:09,Delivered
112,222,XpressBees,XP-0000222,2025-01-03 12:22:10,,Shipped
113,224,Delhivery,DE-0000224,2025-01-07 03:12:49,,Shipped
114,234,XpressBees,XP-0000234,2025-07-23 16:50:49,,Shipped
115,235,XpressBees,XP-0000235,2025-02-02 11:49:58,,Shipped
116,237,DTDC,DT-0000237,2025-02-19 22:28:32,2025-02-20 22:28:32,Delivered
117,239,EcomExpress,EC-0000239,2024-11-18 02:22:19,2024-11-20 02:22:19,Delivered
118,241,Delhivery,DE-0000241,2024-06-09 15:47:55,2024-06-14 15:47:55,Delivered
119,242,XpressBees,XP-0000242,2025-02-22 18:34:12,,Shipped
120,244,BlueDart,BL-0000244,2025-02-28 17:09:32,,Shipped
121,246,BlueDart,BL-0000246,2025-07-30 08:58:58,,Shipped
122,247,XpressBees,XP-0000247,2024-09-27 23:39:20,2024-09-30 23:39:20,Delivered
123,248,BlueDart,BL-0000248,2024-09-03 08:18:51,,Shipped
124,250,XpressBees,XP-0000250,2024-06-03 02:31:28,2024-06-06 02:31:28,Delivered
125,251,DTDC,DT-0000251,2024-04-16 00:40:39,2024-04-20 00:40:39,Delivered
126,252,DTDC,DT-0000252,2024-04-15 22:45:12,2024-04-17 22:45:12,Delivered
127,254,Delhivery,DE-0000254,2024-12-05 17:12:28,2024-12-09 17:12:28,Delivered
128,255,BlueDart,BL-0000255,2024-11-24 11:45:50,,Shipped
129,257,XpressBees,XP-0000257,2024-11-11 20:20:27,,Shipped
130,259,DTDC,DT-0000259,2025-03-21 15:42:24,2025-03-23 15:42:24,Delivered
131,261,Delhivery,DE-0000261,2025-01-29 18:34:32,,Shipped
132,262,EcomExpress,EC-0000262,2024-09-25 19:14:46,,Shipped
133,263,BlueDart,BL-0000263,2025-06-18 14:03:02,2025-06-19 14:03:02,Delivered
134,264,BlueDart,BL-0000264,2024-02-28 19:11:13,,Shipped
135,266,Delhivery,DE-0000266,2025-03-06 11:54:07,,Shipped
136,267,XpressBees,XP-0000267,2025-03-19 18:07:21,,Shipped
137,273,DTDC,DT-0000273,2025-06-16 22:07:09,,Shipped
138,275,BlueDart,BL-0000275,2024-11-01 14:36:46,,Shipped
139,277,DTDC,DT-0000277,2024-06-14 04:16:14,,Shipped
140,278,Delhivery,DE-0000278,2024-01-12 06:55:24,,Shipped
141,279,Delhivery,DE-0000279,2024-02-04 18:00:52,2024-02-07 18:00:52,Delivered
142,281,EcomExpress,EC-0000281,2024-10-09 06:50:07,2024-10-12 06:50:07,Delivered
143,282,XpressBees,XP-0000282,2024-11-11 19:22:42,2024-11-13 19:22:42,Delivered
144,284,Delhivery,DE-0000284,2025-02-04 02:49:32,2025-02-09 02:49:32,Delivered
145,285,EcomExpress,EC-0000285,2024-09-09 10:08:38,2024-09-12 10:08:38,Delivered
146,286,XpressBees,XP-0000286,2025-07-02 08:01:46,2025-07-05 08:01:46,Delivered
147,287,Delhivery,DE-0000287,2025-05-05 20:36:41,2025-05-07 20:36:41,Delivered
148,288,EcomExpress,EC-0000288,2025-03-20 11:40:43,,Shipped
149,289,BlueDart,BL-0000289,2025-01-28 16:37:20,,Shipped
150,290,EcomExpress,EC-0000290,2024-09-23 20:13:34,2024-09-28 20:13:34,Delivered
151,292,Delhivery,DE-0000292,2024-04-02 07:30:17,2024-04-05 07:30:17,Delivered
152,295,BlueDart,BL-0000295,2024-09-16 05:58:52,2024-09-18 05:58:52,Delivered
153,297,DTDC,DT-0000297,2024-12-02 06:25:21,2024-12-07 06:25:21,Delivered
154,304,EcomExpress,EC-0000304,2024-08-02 00:37:57,2024-08-06 00:37:57,Delivered
155,306,BlueDart,BL-0000306,2024-06-20 19:25:23,2024-06-25 19:25:23,Delivered
156,309,EcomExpress,EC-0000309,2025-01-24 11:50:34,2025-01-28 11:50:34,Delivered
157,313,Delhivery,DE-0000313,2024-03-27 22:20:10,2024-04-01 22:20:10,Delivered
158,316,DTDC,DT-0000316,2024-06-04 19:22:45,2024-06-05 19:22:45,Delivered
159,319,BlueDart,BL-0000319,2024-09-25 17:51:46,,Shipped
160,321,DTDC,DT-0000321,2025-02-10 10:04:50,,Shipped
161,322,Delhivery,DE-0000322,2024-03-19 09:25:06,,Shipped
162,324,Delhivery,DE-0000324,2025-04-10 02:53:21,2025-04-13 02:53:21,Delivered
163,327,Delhivery,DE-0000327,2024-05-13 08:40:28,2024-05-17 08:40:28,Delivered
164,328,XpressBees,XP-0000328,2025-02-26 22:44:56,,Shipped
165,333,Delhivery,DE-0000333,2024-08-13 22:46:25,,Shipped
166,334,Delhivery,DE-0000334,2024-07-29 12:36:45,,Shipped
167,335,BlueDart,BL-0000335,2024-08-11 05:21:13,2024-08-14 05:21:13,Delivered
168,337,XpressBees,XP-0000337,2024-01-13 21:12:40,2024-01-15 21:12:40,Delivered
169,341,DTDC,DT-0000341,2024-09-02 18:42:38,2024-09-05 18:42:38,Delivered
170,342,BlueDart,BL-0000342,2024-02-10 23:01:00,,Shipped
171,343,BlueDart,BL-0000343,2025-07-19 14:55:45,2025-07-21 14:55:45,Delivered
172,344,Delhivery,DE-0000344,2024-02-28 02:13:08,2024-02-29 02:13:08,Delivered
173,349,Delhivery,DE-0000349,2025-07-16 08:48:30,2025-07-21 08:48:30,Delivered
174,351,DTDC,DT-0000351,2024-07-12 10:33:39,,Shipped
175,354,XpressBees,XP-0000354,2024-06-08 04:26:25,2024-06-09 04:26:25,Delivered
176,355,Delhivery,DE-0000355,2024-10-07 01:18:55,,Shipped
177,357,EcomExpress,EC-0000357,2024-04-19 13:39:19,2024-04-22 13:39:19,Delivered
178,358,DTDC,DT-0000358,2024-12-22 20:07:53,,Shipped
179,359,BlueDart,BL-0000359,2025-05-15 18:52:50,,Shipped
180,361,Delhivery,DE-0000361,2025-08-03 18:40:59,,Shipped
181,362,DTDC,DT-0000362,2024-04-17 09:22:12,2024-04-22 09:22:12,Delivered
182,365,EcomExpress,EC-0000365,2024-08-29 16:45:39,2024-09-01 16:45:39,Delivered
183,366,XpressBees,XP-0000366,2025-05-03 10:24:17,2025-05-07 10:24:17,Delivered
184,368,BlueDart,BL-0000368,2025-06-17 02:02:58,2025-06-18 02:02:58,Delivered
185,369,XpressBees,XP-0000369,2025-06-30 23:02:36,,Shipped
186,372,BlueDart,BL-0000372,2024-07-15 08:58:12,,Shipped
187,373,Delhivery,DE-0000373,2025-05-24 03:39:02,2025-05-25 03:39:02,Delivered
188,378,Delhivery,DE-0000378,2024-06-25 20:50:32,,Shipped
189,379,DTDC,DT-0000379,2024-03-01 07:21:51,2024-03-02 07:21:51,Delivered
190,381,XpressBees,XP-0000381,2024-07-05 08:08:00,,Shipped
191,382,BlueDart,BL-0000382,2024-10-20 20:38:47,,Shipped
192,384,BlueDart,BL-0000384,2024-09-27 23:02:31,,Shipped
193,385,EcomExpress,EC-0000385,2024-04-17 14:03:25,2024-04-18 14:03:25,Delivered
194,386,BlueDart,BL-0000386,2024-02-29 17:55:19,2024-03-02 17:55:19,Delivered
195,387,DTDC,DT-0000387,2024-12-17 10:27:16,2024-12-19 10:27:16,Delivered
196,388,Delhivery,DE-0000388,2025-05-03 11:12:57,2025-05-05 11:12:57,Delivered
197,390,DTDC,DT-0000390,2024-11-27 14:38:59,2024-11-30 14:38:59,Delivered
198,391,Delhivery,DE-0000391,2024-10-31 00:28:07,2024-11-02 00:28:07,Delivered
199,394,Delhivery,DE-0000394,2025-03-06 02:53:46,2025-03-11 02:53:46,Delivered
200,396,EcomExpress,EC-0000396,2024-10-15 19:30:53,,Shipped
201,397,EcomExpress,EC-0000397,2024-12-25 20:36:25,2024-12-30 20:36:25,Delivered
202,398,Delhivery,DE-0000398,2024-03-03 23:29:17,,Shipped
203,399,DTDC,DT-0000399,2024-12-05 12:50:53,,Shipped
204,400,EcomExpress,EC-0000400,2025-01-14 14:23:12,2025-01-15 14:23:12,Delivered
205,404,BlueDart,BL-0000404,2025-05-30 06:24:23,,Shipped
206,406,XpressBees,XP-0000406,2025-07-21 02:55:35,2025-07-23 02:55:35,Delivered
207,409,EcomExpress,EC-0000409,2025-05-27 12:16:24,2025-05-30 12:16:24,Delivered
208,410,BlueDart,BL-0000410,2024-10-15 14:05:15,2024-10-18 14:05:15,Delivered
209,411,EcomExpress,EC-0000411,2024-09-08 10:48:51,2024-09-11 10:48:51,Delivered
210,412,Delhivery,DE-0000412,2025-03-20 04:02:48,,Shipped
211,413,Delhivery,DE-0000413,2025-06-18 15:33:37,2025-06-22 15:33:37,Delivered
212,414,EcomExpress,EC-0000414,2024-12-08 04:46:32,,Shipped
213,417,Delhivery,DE-0000417,2025-07-24 20:13:34,2025-07-29 20:13:34,Delivered
214,421,BlueDart,BL-0000421,2024-10-31 01:00:45,2024-11-03 01:00:45,Delivered
215,422,XpressBees,XP-0000422,2025-07-30 20:50:06,,Shipped
216,423,EcomExpress,EC-0000423,2024-10-31 02:42:40,,Shipped
217,424,EcomExpress,EC-0000424,2025-04-06 03:40:19,,Shipped
218,426,DTDC,DT-0000426,2024-12-22 22:03:21,2024-12-23 22:03:21,Delivered
219,427,Delhivery,DE-0000427,2024-08-09 14:42:01,2024-08-10 14:42:01,Delivered
220,428,EcomExpress,EC-0000428,2024-06-21 20:12:55,,Shipped
221,431,BlueDart,BL-0000431,2025-05-23 19:19:28,2025-05-26 19:19:28,Delivered
222,436,EcomExpress,EC-0000436,2024-03-25 20:54:07,2024-03-30 20:54:07,Delivered
223,439,BlueDart,BL-0000439,2025-08-04 06:33:42,2025-08-06 06:33:42,Delivered
224,441,XpressBees,XP-0000441,2024-06-23 05:28:58,,Shipped
225,444,Delhivery,DE-0000444,2024-09-21 09:18:05,2024-09-25 09:18:05,Delivered
226,445,EcomExpress,EC-0000445,2024-09-16 14:56:39,2024-09-17 14:56:39,Delivered
227,446,Delhivery,DE-0000446,2025-01-20 10:31:33,,Shipped
228,448,DTDC,DT-0000448,2025-04-29 03:18:25,2025-04-30 03:18:25,Delivered
229,449,Delhivery,DE-0000449,2024-11-16 22:14:30,2024-11-18 22:14:30,Delivered
230,451,BlueDart,BL-0000451,2024-01-05 00:06:32,2024-01-06 00:06:32,Delivered
231,452,Delhivery,DE-0000452,2024-03-14 07:48:33,2024-03-15 07:48:33,Delivered
232,453,EcomExpress,EC-0000453,2025-02-25 11:20:29,2025-02-27 11:20:29,Delivered
233,455,DTDC,DT-0000455,2024-01-09 21:10:43,2024-01-13 21:10:43,Delivered
234,456,DTDC,DT-0000456,2024-11-26 11:23:49,2024-11-30 11:23:49,Delivered
235,459,Delhivery,DE-0000459,2024-10-19 16:14:34,2024-10-22 16:14:34,Delivered
236,461,BlueDart,BL-0000461,2024-11-30 01:33:07,,Shipped
237,463,XpressBees,XP-0000463,2024-02-19 23:41:55,,Shipped
238,466,XpressBees,XP-0000466,2024-05-21 08:52:15,2024-05-26 08:52:15,Delivered
239,468,XpressBees,XP-0000468,2025-03-31 15:47:14,,Shipped
240,471,Delhivery,DE-0000471,2024-06-19 19:57:53,,Shipped
241,472,DTDC,DT-0000472,2025-04-12 01:18:04,2025-04-17 01:18:04,Delivered
242,473,XpressBees,XP-0000473,2025-04-09 23:36:56,,Shipped
243,476,DTDC,DT-0000476,2025-08-14 08:53:44,2025-08-18 08:53:44,Delivered
244,477,Delhivery,DE-0000477,2025-05-04 19:34:38,,Shipped
245,478,BlueDart,BL-0000478,2025-03-04 12:23:47,,Shipped
246,479,EcomExpress,EC-0000479,2024-07-25 07:24:31,,Shipped
247,480,XpressBees,XP-0000480,2024-11-09 17:18:00,2024-11-12 17:18:00,Delivered
248,481,DTDC,DT-0000481,2024-09-23 16:44:23,2024-09-27 16:44:23,Delivered
249,482,BlueDart,BL-0000482,2025-08-25 09:09:54,2025-08-26 09:09:54,Delivered
250,483,BlueDart,BL-0000483,2025-01-13 20:34:02,2025-01-16 20:34:02,Delivered
251,485,XpressBees,XP-0000485,2024-04-15 07:23:21,2024-04-17 07:23:21,Delivered
252,487,EcomExpress,EC-0000487,2025-02-06 15:33:00,2025-02-11 15:33:00,Delivered
253,488,BlueDart,BL-0000488,2024-02-16 00:02:01,2024-02-21 00:02:01,Delivered
254,489,Delhivery,DE-0000489,2024-07-06 13:26:44,2024-07-10 13:26:44,Delivered
255,490,Delhivery,DE-0000490,2025-01-03 02:45:36,2025-01-07 02:45:36,Delivered
256,491,DTDC,DT-0000491,2024-12-18 12:57:33,2024-12-23 12:57:33,Delivered
257,495,DTDC,DT-0000495,2024-07-21 12:00:05,2024-07-22 12:00:05,Delivered
258,498,XpressBees,XP-0000498,2024-07-29 00:05:29,,Shipped
259,501,BlueDart,BL-0000501,2024-06-08 16:28:25,2024-06-10 16:28:25,Delivered
260,502,BlueDart,BL-0000502,2024-04-26 18:01:49,2024-04-29 18:01:49,Delivered
261,504,Delhivery,DE-0000504,2025-04-24 13:52:50,2025-04-29 13:52:50,Delivered
262,505,DTDC,DT-0000505,2024-03-17 11:19:24,2024-03-20 11:19:24,Delivered
263,506,DTDC,DT-0000506,2025-06-26 19:21:13,,Shipped
264,507,EcomExpress,EC-0000507,2025-08-06 10:50:05,,Shipped
265,517,EcomExpress,EC-0000517,2025-06-04 04:31:04,2025-06-06 04:31:04,Delivered
266,520,DTDC,DT-0000520,2024-11-06 05:05:51,2024-11-07 05:05:51,Delivered
267,522,Delhivery,DE-0000522,2024-04-07 16:15:40,2024-04-09 16:15:40,Delivered
268,523,Delhivery,DE-0000523,2024-01-14 14:11:12,2024-01-16 14:11:12,Delivered
269,524,EcomExpress,EC-0000524,2025-07-07 20:09:27,2025-07-10 20:09:27,Delivered
270,527,EcomExpress,EC-0000527,2024-01-13 03:11:47,2024-01-18 03:11:47,Delivered
271,531,DTDC,DT-0000531,2025-02-26 05:59:50,2025-02-28 05:59:50,Delivered
272,532,BlueDart,BL-0000532,2024-09-22 01:23:55,2024-09-23 01:23:55,Delivered
273,533,EcomExpress,EC-0000533,2025-03-09 12:49:32,2025-03-13 12:49:32,Delivered
274,535,BlueDart,BL-0000535,2024-10-20 11:23:48,2024-10-23 11:23:48,Delivered
275,537,XpressBees,XP-0000537,2024-08-03 16:08:04,,Shipped
276,538,BlueDart,BL-0000538,2025-07-19 04:27:41,2025-07-24 04:27:41,Delivered
277,539,BlueDart,BL-0000539,2024-12-16 02:00:32,2024-12-19 02:00:32,Delivered
278,542,EcomExpress,EC-0000542,2025-06-11 09:09:26,,Shipped
279,545,BlueDart,BL-0000545,2024-12-27 18:01:10,,Shipped
280,550,BlueDart,BL-0000550,2024-11-29 16:05:37,2024-12-03 16:05:37,Delivered
281,551,EcomExpress,EC-0000551,2024-04-20 00:09:07,2024-04-24 00:09:07,Delivered
282,554,XpressBees,XP-0000554,2024-09-15 09:56:22,2024-09-18 09:56:22,Delivered
283,556,DTDC,DT-0000556,2024-11-10 05:44:25,,Shipped
284,558,DTDC,DT-0000558,2024-07-13 08:05:16,2024-07-18 08:05:16,Delivered
285,559,XpressBees,XP-0000559,2025-04-19 17:12:04,,Shipped
286,564,Delhivery,DE-0000564,2024-09-18 11:00:18,2024-09-20 11:00:18,Delivered
287,565,EcomExpress,EC-0000565,2024-03-23 17:46:50,,Shipped
288,567,EcomExpress,EC-0000567,2025-02-25 12:40:13,2025-02-28 12:40:13,Delivered
289,569,Delhivery,DE-0000569,2025-04-22 08:44:55,,Shipped
290,570,BlueDart,BL-0000570,2024-04-21 02:29:34,,Shipped
291,573,DTDC,DT-0000573,2025-07-05 00:07:39,2025-07-07 00:07:39,Delivered
292,574,DTDC,DT-0000574,2024-06-05 04:07:58,,Shipped
293,575,Delhivery,DE-0000575,2024-01-22 17:52:43,,Shipped
294,576,EcomExpress,EC-0000576,2024-06-06 17:06:28,2024-06-09 17:06:28,Delivered
295,583,DTDC,DT-0000583,2025-03-20 04:58:26,,Shipped
296,587,DTDC,DT-0000587,2024-09-18 23:19:37,,Shipped
297,588,Delhivery,DE-0000588,2024-04-07 06:25:00,2024-04-09 06:25:00,Delivered
298,593,BlueDart,BL-0000593,2025-03-03 12:47:21,2025-03-05 12:47:21,Delivered
299,595,DTDC,DT-0000595,2024-05-23 20:42:26,2024-05-26 20:42:26,Delivered
300,597,EcomExpress,EC-0000597,2025-08-12 06:49:32,2025-08-15 06:49:32,Delivered
301,598,XpressBees,XP-0000598,2025-07-27 23:20:04,2025-07-29 23:20:04,Delivered
302,599,XpressBees,XP-0000599,2025-04-23 20:32:07,,Shipped
303,606,EcomExpress,EC-0000606,2024-07-11 14:56:58,,Shipped
304,608,EcomExpress,EC-0000608,2024-02-02 09:49:15,2024-02-04 09:49:15,Delivered
305,610,XpressBees,XP-0000610,2025-01-23 11:02:49,,Shipped
306,612,Delhivery,DE-0000612,2025-04-30 12:31:30,2025-05-01 12:31:30,Delivered
307,613,Delhivery,DE-0000613,2025-03-16 16:10:51,2025-03-18 16:10:51,Delivered
308,615,EcomExpress,EC-0000615,2024-12-29 00:18:33,2024-12-31 00:18:33,Delivered
309,618,Delhivery,DE-0000618,2024-04-01 00:47:36,2024-04-05 00:47:36,Delivered
310,623,XpressBees,XP-0000623,2025-04-25 14:58:10,2025-04-29 14:58:10,Delivered
311,625,Delhivery,DE-0000625,2024-09-09 00:50:22,2024-09-10 00:50:22,Delivered
312,626,EcomExpress,EC-0000626,2024-08-27 16:59:53,2024-08-30 16:59:53,Delivered
313,630,DTDC,DT-0000630,2025-01-06 11:56:48,2025-01-09 11:56:48,Delivered
314,631,XpressBees,XP-0000631,2025-02-16 17:26:35,2025-02-20 17:26:35,Delivered
315,633,XpressBees,XP-0000633,2024-11-07 05:08:53,2024-11-09 05:08:53,Delivered
316,640,BlueDart,BL-0000640,2024-04-08 06:53:52,2024-04-10 06:53:52,Delivered
317,641,DTDC,DT-0000641,2024-03-19 13:20:55,,Shipped
318,643,BlueDart,BL-0000643,2025-02-24 13:24:12,,Shipped
319,645,XpressBees,XP-0000645,2024-07-10 11:11:45,2024-07-12 11:11:45,Delivered
320,648,DTDC,DT-0000648,2024-12-17 13:19:05,2024-12-20 13:19:05,Delivered
321,650,XpressBees,XP-0000650,2025-06-22 16:58:36,,Shipped
